invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,revenue
C553910,21232,STRAWBERRY CERAMIC TRINKET BOX,-1,5/19/2011 19:02,1.25,18168,United Kingdom,-1.25
C568748,84949,SILVER HANGING T-LIGHT HOLDER,-12,9/28/2011 16:59,1.65,16389,United Kingdom,-19.8
C546210,22355,CHARLOTTE BAG SUKI DESIGN,-1,3/10/2011 11:31,0.85,14713,United Kingdom,-0.85
C552423,D,Discount,-1,5/9/2011 12:44,11.84,14527,United Kingdom,-11.84
580379,72225C,Unknown,-144,12/2/2011 17:57,0,Guest,United Kingdom,0
C559608,22601,CHRISTMAS RETROSPOT ANGEL WOOD,-1,7/11/2011 11:44,0.85,14690,United Kingdom,-0.85
C571699,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,-1,10/18/2011 14:51,7.95,15106,United Kingdom,-7.95
549695,84751B,Unknown,-24,4/11/2011 13:50,0,Guest,United Kingdom,0
C557522,23240,SET OF 4 KNICK KNACK TINS DOILEY ,-2,6/20/2011 17:23,4.15,17193,United Kingdom,-8.3
C563609,22784,LANTERN CREAM GAZEBO ,-2,8/18/2011 6:34,4.95,18178,United Kingdom,-9.9
C572761,22960,JAM MAKING SET WITH JARS,-3,10/26/2011 9:38,4.25,12584,Italy,-12.75
C578371,21714,CITRONELLA CANDLE GARDEN POT,-5,11/24/2011 11:16,1.25,14410,United Kingdom,-6.25
C580641,71477,COLOURED GLASS STAR T-LIGHT HOLDER,-14,12/5/2011 12:52,3.95,15621,United Kingdom,-55.3
C546904,22766,PHOTO FRAME CORNICE,-4,3/17/2011 18:33,2.95,16150,United Kingdom,-11.8
C552805,22558,CLOTHES PEGS RETROSPOT PACK 24 ,-12,5/11/2011 12:34,1.65,14149,United Kingdom,-19.8
C570508,21626,VINTAGE UNION JACK PENNANT,-12,10/11/2011 10:14,1.95,15706,United Kingdom,-23.4
C581178,23079,TOADSTOOL BEDSIDE LIGHT ,-1,12/7/2011 15:39,8.95,15525,United Kingdom,-8.95
C572448,M,Manual,-1,10/24/2011 12:28,259.79,Guest,United Kingdom,-259.79
C553905,23064,CINDERELLA CHANDELIER ,-1,5/19/2011 18:11,49.95,15622,United Kingdom,-49.95
C552552,22090,PAPER BUNTING RETROSPOT,-40,5/10/2011 10:51,2.55,16525,United Kingdom,-102
C560902,22508,DOORSTOP RETROSPOT HEART,-4,7/21/2011 17:45,3.75,17593,United Kingdom,-15
C542139,22442,GROW YOUR OWN FLOWERS SET OF 3,-4,1/25/2011 17:24,7.95,17094,United Kingdom,-31.8
C555252,23110,PARISIENNE KEY CABINET ,-1,6/1/2011 15:13,5.75,12987,United Kingdom,-5.75
C571919,23354,6 GIFT TAGS 50'S CHRISTMAS ,-36,10/19/2011 16:08,0.83,17350,United Kingdom,-29.88
C560899,84978,HANGING HEART JAR T-LIGHT HOLDER,-24,7/21/2011 17:32,1.25,15260,United Kingdom,-30
C543347,22467,GUMBALL COAT RACK,-6,2/7/2011 12:44,2.55,12472,Germany,-15.3
C562221,20685,DOORMAT RED RETROSPOT,-10,8/3/2011 14:22,6.75,16525,United Kingdom,-67.5
C538189,M,Manual,-1,12/10/2010 10:35,133.08,Guest,United Kingdom,-133.08
C547241,85194L,HANGING SPRING FLOWER EGG LARGE,-8,3/21/2011 16:34,0.85,16817,United Kingdom,-6.8
576569,47504K,Unknown,-21,11/15/2011 13:45,0,Guest,United Kingdom,0
C579415,23169,CLASSIC GLASS COOKIE JAR,-4,11/29/2011 12:52,3.75,15311,United Kingdom,-15
C537383,21658,GLASS  BEURRE DISH,-1,12/6/2010 13:17,3.95,16550,United Kingdom,-3.95
C570867,23229,VINTAGE DONKEY TAIL GAME ,-6,10/12/2011 16:17,3.75,12607,USA,-22.5
C551508,23194,GYMKHANA TREASURE BOOK BOX,-6,4/28/2011 18:16,2.25,13102,United Kingdom,-13.5
C553910,21537,RED RETROSPOT PUDDING BOWL,-1,5/19/2011 19:02,4.25,18168,United Kingdom,-4.25
C563600,21218,RED SPOTTY BISCUIT TIN,-1,8/18/2011 6:24,3.75,14911,EIRE,-3.75
C538341,22988,SOLDIERS EGG CUP ,-12,12/10/2010 14:03,1.25,15514,United Kingdom,-15
C562375,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,-24,8/4/2011 14:46,0.55,14911,EIRE,-13.2
C564964,22698,PINK REGENCY TEACUP AND SAUCER,-2,8/31/2011 15:00,2.95,17315,United Kingdom,-5.9
C569911,21534,DAIRY MAID LARGE MILK JUG,-1,10/6/2011 16:47,4.95,16653,United Kingdom,-4.95
537449,21054,Unknown,-30,12/7/2010 9:26,0,Guest,United Kingdom,0
C543052,22797,CHEST OF DRAWERS GINGHAM HEART ,-1,2/3/2011 10:20,16.95,14180,United Kingdom,-16.95
554299,20975,Unknown,-39,5/23/2011 14:28,0,Guest,United Kingdom,0
C552406,21658,GLASS  BEURRE DISH,-2,5/9/2011 12:39,3.39,12709,Germany,-6.78
542564,84526,Unknown,-1,1/28/2011 14:52,0,Guest,United Kingdom,0
568407,84660A,Unknown,-8,9/27/2011 10:38,0,Guest,United Kingdom,0
C545329,M,Manual,-1,3/1/2011 15:47,280.05,12352,Norway,-280.05
C565597,22625,RED KITCHEN SCALES,-1,9/5/2011 14:29,7.65,12709,Germany,-7.65
C560855,22261,FELT EGG COSY WHITE RABBIT ,-4,7/21/2011 13:00,0.85,14410,United Kingdom,-3.4
C537251,22748,POPPY'S PLAYHOUSE KITCHEN,-4,12/6/2010 10:45,2.1,Guest,United Kingdom,-8.4
C559486,23111,PARISIENNE SEWING BOX,-1,7/8/2011 13:51,12.5,13047,United Kingdom,-12.5
C558110,22969,HOMEMADE JAM SCENTED CANDLES,-12,6/26/2011 15:47,1.45,17731,United Kingdom,-17.4
C560540,23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,-1,7/19/2011 12:26,1.65,12415,Australia,-1.65
C567978,21452,TOADSTOOL MONEY BOX,-1,9/23/2011 10:40,2.95,14546,United Kingdom,-2.95
C574291,21977,PACK OF 60 PINK PAISLEY CAKE CASES,-24,11/3/2011 15:19,0.55,15290,United Kingdom,-13.2
C580313,21232,STRAWBERRY CERAMIC TRINKET POT,-3,12/2/2011 15:10,1.25,12668,Germany,-3.75
C572471,22303,COFFEE MUG APPLES DESIGN,-1,10/24/2011 13:33,2.1,17090,United Kingdom,-2.1
C578276,23493,VINTAGE DOILY TRAVEL SEWING KIT,-1,11/23/2011 13:48,1.65,17511,United Kingdom,-1.65
C550482,22843,BISCUIT TIN VINTAGE GREEN,-2,4/18/2011 14:12,6.75,17204,United Kingdom,-13.5
C542910,85099B,JUMBO BAG RED RETROSPOT,-1,2/1/2011 15:38,1.65,17511,United Kingdom,-1.65
C559136,22197,POPCORN HOLDER,-2,7/6/2011 13:21,0.72,17511,United Kingdom,-1.44
C569655,22911,PAPER CHAIN KIT LONDON,-3,10/5/2011 12:58,2.95,14534,United Kingdom,-8.85
C575572,23485,BOTANICAL GARDENS WALL CLOCK ,-1,11/10/2011 11:33,20.8,17528,United Kingdom,-20.8
C578007,23234,BISCUIT TIN VINTAGE CHRISTMAS,-1,11/22/2011 12:40,2.89,16474,United Kingdom,-2.89
C551015,22637,PIGGY BANK RETROSPOT ,-3,4/26/2011 11:06,2.1,12753,Japan,-6.3
C560540,21210,SET OF 72 RETROSPOT PAPER  DOILIES,-1,7/19/2011 12:26,1.45,12415,Australia,-1.45
C552889,20725,LUNCH BAG RED RETROSPOT,-1,5/12/2011 10:29,1.65,14606,United Kingdom,-1.65
C577737,22863,SOAP DISH BROCANTE,-12,11/21/2011 13:25,2.95,15681,United Kingdom,-35.4
C557061,22360,GLASS JAR ENGLISH CONFECTIONERY,-5,6/16/2011 14:55,2.95,14895,United Kingdom,-14.75
551168,85068,Unknown,-4,4/26/2011 16:06,0,Guest,United Kingdom,0
C547853,20727,LUNCH BAG  BLACK SKULL.,-3,3/27/2011 12:11,1.65,15615,United Kingdom,-4.95
C559498,21931,JUMBO STORAGE BAG SUKI,-2,7/8/2011 14:06,2.08,15078,United Kingdom,-4.16
C550538,37495,FAIRY CAKE BIRTHDAY CANDLE SET,-2,4/19/2011 11:26,3.75,17746,United Kingdom,-7.5
C570221,22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,-2,10/9/2011 12:56,2.95,13113,United Kingdom,-5.9
C580957,POST,POSTAGE,-1,12/6/2011 14:23,4.5,12839,United Kingdom,-4.5
C578003,37495,FAIRY CAKE BIRTHDAY CANDLE SET,-3,11/22/2011 12:31,3.75,13832,United Kingdom,-11.25
C569112,22357,KINGS CHOICE BISCUIT TIN,-2,9/30/2011 12:47,4.25,17405,United Kingdom,-8.5
C543347,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-2,2/7/2011 12:44,2.95,12472,Germany,-5.9
574173,35923,check,-42,11/3/2011 11:46,0,Guest,United Kingdom,0
C540948,22941,CHRISTMAS LIGHTS 10 REINDEER,-2,1/12/2011 12:47,8.5,13093,United Kingdom,-17
C540950,22960,JAM MAKING SET WITH JARS,-1,1/12/2011 12:51,4.25,18226,United Kingdom,-4.25
C579886,23491,VINTAGE JINGLE BELLS HEART,-1,11/30/2011 17:39,8.25,15676,United Kingdom,-8.25
C546519,84559B,3D SHEET OF CAT STICKERS,-4,3/14/2011 12:27,0.85,14350,United Kingdom,-3.4
C570290,23201,JUMBO BAG ALPHABET,-10,10/10/2011 11:54,2.08,14665,United Kingdom,-20.8
C576197,21642,ASSORTED TUTTI FRUTTI PEN,-23,11/14/2011 12:08,0.29,13755,United Kingdom,-6.67
C555881,21918,SET 12 KIDS COLOUR  CHALK STICKS,-3,6/7/2011 15:37,0.42,12473,Germany,-1.26
551323,21398,damages,-9,4/27/2011 15:31,0,Guest,United Kingdom,0
C539448,20803,SMALL PINK GLASS SUNDAE DISH,-36,12/17/2010 16:25,0.42,15157,United Kingdom,-15.12
C554781,21929,JUMBO BAG PINK VINTAGE PAISLEY,-1,5/26/2011 11:44,1.95,14245,United Kingdom,-1.95
C569107,22039,BOTANICAL LILY GIFT WRAP,-25,9/30/2011 12:40,0.42,15150,United Kingdom,-10.5
550760,84750B,Unknown,-4,4/20/2011 12:09,0,Guest,United Kingdom,0
556286,16052,Unknown,-16,6/10/2011 9:22,0,Guest,United Kingdom,0
568093,20773,Unknown,-9,9/23/2011 14:42,0,Guest,United Kingdom,0
C546507,22914,BLUE COAT RACK PARIS FASHION,-1,3/14/2011 11:47,4.95,12712,Germany,-4.95
549156,17013D,Unknown,-9,4/6/2011 17:11,0,Guest,United Kingdom,0
C567708,22998,TRAVEL CARD WALLET KEEP CALM,-24,9/22/2011 9:53,0.42,15201,United Kingdom,-10.08
C567891,82483,WOOD 2 DRAWER CABINET WHITE FINISH,-1,9/22/2011 15:50,6.95,15296,United Kingdom,-6.95
C537251,22454,MEASURING TAPE BABUSHKA RED,-8,12/6/2010 10:45,2.95,Guest,United Kingdom,-23.6
C570828,90168,2 DAISIES HAIR COMB,-6,10/12/2011 13:15,2.95,14911,EIRE,-17.7
C569975,23056,FLOWERS CHANDELIER T-LIGHT HOLDER,-1,10/6/2011 19:25,6.25,14333,United Kingdom,-6.25
C552858,22770,MIRROR CORNICE,-1,5/11/2011 15:46,14.95,14180,United Kingdom,-14.95
C554345,22729,ALARM CLOCK BAKELIKE ORANGE,-1,5/23/2011 17:47,3.75,13767,United Kingdom,-3.75
C556644,22699,ROSES REGENCY TEACUP AND SAUCER ,-1,6/13/2011 16:06,2.95,17115,United Kingdom,-2.95
C546930,22766,PHOTO FRAME CORNICE,-1,3/18/2011 10:37,2.95,14701,United Kingdom,-2.95
C578371,22949,SET OF 36 DOLLY GIRL PAPER DOILIES,-2,11/24/2011 11:16,1.45,14410,United Kingdom,-2.9
C572275,22423,REGENCY CAKESTAND 3 TIER,-1,10/23/2011 9:42,12.75,12572,Germany,-12.75
C551511,22424,ENAMEL BREAD BIN CREAM,-1,4/28/2011 19:49,12.75,14311,United Kingdom,-12.75
C543640,22504,CABIN BAG VINTAGE RETROSPOT,-1,2/10/2011 17:06,29.95,12967,United Kingdom,-29.95
C543475,84881,BLUE WIRE SPIRAL CANDLE HOLDER,-1,2/8/2011 15:15,6.35,14415,United Kingdom,-6.35
C547968,22859,EASTER TIN BUNNY BOUQUET,-1,3/28/2011 16:02,1.65,12471,Germany,-1.65
538247,79067,Unknown,-145,12/10/2010 12:09,0,Guest,United Kingdom,0
561536,84927E,Unknown,-2,7/28/2011 9:58,0,Guest,United Kingdom,0
C561725,82580,BATHROOM METAL SIGN,-2,7/29/2011 12:10,0.55,17841,United Kingdom,-1.1
C544828,22423,REGENCY CAKESTAND 3 TIER,-1,2/24/2011 9:49,12.75,17147,United Kingdom,-12.75
C544034,21743,STAR PORTABLE TABLE LIGHT ,-5,2/15/2011 11:28,2.95,14701,United Kingdom,-14.75
C549252,22667,RECIPE BOX RETROSPOT ,-5,4/7/2011 12:18,2.55,16584,United Kingdom,-12.75
C570828,90202A,PURPLE ENAMEL FLOWER HAIR TIE,-6,10/12/2011 13:15,2.95,14911,EIRE,-17.7
C559500,21735,TWO DOOR CURIO CABINET,-1,7/8/2011 14:27,12.75,14016,EIRE,-12.75
C571695,21703,BAG 125g SWIRLY MARBLES,-60,10/18/2011 14:46,0.42,14776,United Kingdom,-25.2
C571346,23295,SET OF 12 MINI LOAF BAKING CASES,-6,10/17/2011 11:46,0.83,16101,United Kingdom,-4.98
C540952,21531,RED RETROSPOT SUGAR JAM BOWL,-1,1/12/2011 13:12,2.55,14606,United Kingdom,-2.55
C539069,22634,CHILDS BREAKFAST SET SPACEBOY ,-1,12/15/2010 16:57,9.95,12947,United Kingdom,-9.95
551583,84482,Unknown,-5,5/3/2011 11:21,0,Guest,United Kingdom,0
C552700,22650,CERAMIC PIRATE CHEST MONEY BANK,-2,5/10/2011 15:56,1.45,14587,United Kingdom,-2.9
C569663,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,-1,10/5/2011 13:29,1.69,17841,United Kingdom,-1.69
C566384,22843,BISCUIT TIN VINTAGE GREEN,-1,9/12/2011 12:41,6.75,17811,United Kingdom,-6.75
C551465,22697,GREEN REGENCY TEACUP AND SAUCER,-1,4/28/2011 16:17,2.95,14640,United Kingdom,-2.95
C562952,23239,SET OF 4 KNICK KNACK TINS POPPIES,-3,8/11/2011 10:10,4.15,12749,United Kingdom,-12.45
C564435,POST,POSTAGE,-1,8/25/2011 12:05,4.41,17676,United Kingdom,-4.41
C558745,21314,SMALL GLASS HEART TRINKET POT,-1,7/1/2011 17:02,2.1,14415,United Kingdom,-2.1
C555873,22361,GLASS JAR DAISY FRESH COTTON WOOL,-1,6/7/2011 15:12,2.95,15498,United Kingdom,-2.95
C561613,22780,LIGHT GARLAND BUTTERFILES PINK,-4,7/28/2011 12:46,4.25,14194,United Kingdom,-17
572686,23118,Breakages,-30,10/25/2011 14:03,0,Guest,United Kingdom,0
C543469,85232B,SET OF 3 BABUSHKA STACKING TINS,-1,2/8/2011 14:55,4.25,12709,Germany,-4.25
571011,21078,Unknown,-207,10/13/2011 12:13,0,Guest,United Kingdom,0
C577081,82582,AREA PATROLLED METAL SIGN,-6,11/17/2011 15:24,2.1,18230,United Kingdom,-12.6
556320,22922,sold as set on dotcom,-42,6/10/2011 10:50,0,Guest,United Kingdom,0
C569549,20726,LUNCH BAG WOODLAND,-10,10/4/2011 17:32,1.65,15955,United Kingdom,-16.5
C543185,22333,RETROSPOT PARTY BAG + STICKER SET,-14,2/4/2011 11:22,1.65,Guest,United Kingdom,-23.1
C574493,23103,JINGLE BELL HEART DECORATION,-3,11/4/2011 13:09,1.65,14842,United Kingdom,-4.95
C579192,22357,KINGS CHOICE BISCUIT TIN,-4,11/28/2011 15:43,4.25,12657,France,-17
C555729,22768,FAMILY PHOTO FRAME CORNICE,-1,6/6/2011 16:50,9.95,13552,United Kingdom,-9.95
556316,22128,sold as set on dotcom,-24,6/10/2011 10:48,0,Guest,United Kingdom,0
C581145,23249,VINTAGE RED ENAMEL TRIM PLATE,-9,12/7/2011 13:48,1.49,17490,United Kingdom,-13.41
C540250,22941,CHRISTMAS LIGHTS 10 REINDEER,-1,1/5/2011 16:02,8.5,17511,United Kingdom,-8.5
C574010,22356,CHARLOTTE BAG PINK POLKADOT,-1,11/2/2011 11:51,0.85,17841,United Kingdom,-0.85
C578007,23197,SKETCHBOOK MAGNETIC SHOPPING LIST,-1,11/22/2011 12:40,1.45,16474,United Kingdom,-1.45
C568573,20725,LUNCH BAG RED RETROSPOT,-1,9/28/2011 9:09,1.65,13115,United Kingdom,-1.65
C569114,22487,WHITE WOOD GARDEN PLANT LADDER,-1,9/30/2011 12:50,9.95,14911,EIRE,-9.95
C537132,71279,PINK GLASS CANDLEHOLDER,-2,12/5/2010 12:29,2.95,15221,United Kingdom,-5.9
561493,84761,Unknown,-11,7/27/2011 13:59,0,Guest,United Kingdom,0
C572120,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,-1,10/20/2011 19:29,3.75,14911,EIRE,-3.75
C573092,20728,LUNCH BAG CARS BLUE,-112,10/27/2011 14:38,1.45,13791,United Kingdom,-162.4
C544580,S,SAMPLES,-1,2/21/2011 14:25,9.74,Guest,United Kingdom,-9.74
C559253,22333,RETROSPOT PARTY BAG + STICKER SET,-1,7/7/2011 11:44,1.65,12472,Germany,-1.65
C572334,23204,CHARLOTTE BAG APPLES DESIGN,-100,10/24/2011 10:25,0.72,14607,United Kingdom,-72
C560540,21929,JUMBO BAG PINK VINTAGE PAISLEY,-1,7/19/2011 12:26,2.08,12415,Australia,-2.08
548206,22469,Unknown,-53,3/29/2011 16:56,0,Guest,United Kingdom,0
C574999,23133,LARGE IVORY HEART WALL ORGANISER,-1,11/8/2011 11:06,8.25,17289,United Kingdom,-8.25
C562793,M,Manual,-1,8/9/2011 14:18,57.6,16422,United Kingdom,-57.6
C545997,22367,CHILDRENS APRON SPACEBOY DESIGN,-8,3/8/2011 14:35,1.95,12679,France,-15.6
548989,72799F,Unknown,-46,4/5/2011 13:19,0,Guest,United Kingdom,0
C571029,22150,3 STRIPEY MICE FELTCRAFT,-3,10/13/2011 12:23,1.95,13035,United Kingdom,-5.85
549004,21274,Unknown,-3,4/5/2011 14:37,0,Guest,United Kingdom,0
C560409,48184,DOORMAT ENGLISH ROSE ,-2,7/18/2011 14:24,7.95,16717,United Kingdom,-15.9
C538712,22941,CHRISTMAS LIGHTS 10 REINDEER,-1,12/14/2010 10:51,8.5,17677,United Kingdom,-8.5
C559347,85159A,"BLACK TEA,COFFEE,SUGAR JARS",-24,7/7/2011 17:22,1.95,18072,United Kingdom,-46.8
C567978,23092,LARGE ANTIQUE WHITE PHOTO FRAME,-1,9/23/2011 10:40,7.9,14546,United Kingdom,-7.9
C540246,22632,HAND WARMER RED RETROSPOT,-1,1/5/2011 15:43,1.85,13081,United Kingdom,-1.85
C562280,23020,GLASS  SONGBIRD STORAGE JAR,-1,8/4/2011 10:31,12.5,16133,United Kingdom,-12.5
C559467,21464,DISCO BALL ROTATOR BATTERY OPERATED,-1,7/8/2011 13:33,4.25,13078,United Kingdom,-4.25
C573949,23012,GLASS APOTHECARY BOTTLE PERFUME,-4,11/2/2011 10:47,3.95,14511,United Kingdom,-15.8
561494,18097A,Unknown,-23,7/27/2011 14:04,0,Guest,United Kingdom,0
575287,84508A,check,-39,11/9/2011 12:15,0,Guest,United Kingdom,0
C546128,22842,BISCUIT TIN VINTAGE RED,-1,3/9/2011 15:05,6.75,15622,United Kingdom,-6.75
C555729,23111,PARISIENNE SEWING BOX,-8,6/6/2011 16:50,10.4,13552,United Kingdom,-83.2
C538059,22697,GREEN REGENCY TEACUP AND SAUCER,-6,12/9/2010 13:38,2.95,14205,United Kingdom,-17.7
C576199,22186,RED STAR CARD HOLDER,-1,11/14/2011 12:13,1.95,12610,Italy,-1.95
C560391,22698,PINK REGENCY TEACUP AND SAUCER,-1,7/18/2011 13:21,2.95,12930,United Kingdom,-2.95
C560420,M,Manual,-1,7/18/2011 15:11,1592.49,15369,United Kingdom,-1592.49
C574487,85099B,JUMBO BAG RED RETROSPOT,-1,11/4/2011 12:57,2.08,14112,United Kingdom,-2.08
C550808,22699,ROSES REGENCY TEACUP AND SAUCER ,-1,4/20/2011 15:57,2.95,14323,United Kingdom,-2.95
C560823,BANK CHARGES,Bank Charges,-1,7/21/2011 11:22,21.9,Guest,United Kingdom,-21.9
C569525,22457,NATURAL SLATE HEART CHALKBOARD ,-1,10/4/2011 14:48,2.95,16474,United Kingdom,-2.95
C578371,22414,DOORMAT NEIGHBOURHOOD WITCH ,-1,11/24/2011 11:16,8.25,14410,United Kingdom,-8.25
C546931,22301,COFFEE MUG CAT + BIRD DESIGN,-2,3/18/2011 10:40,2.1,12989,United Kingdom,-4.2
C563207,84279P,CHERRY BLOSSOM  DECORATIVE FLASK,-1,8/14/2011 12:10,3.75,17613,United Kingdom,-3.75
C570828,90185B,AMETHYST DIAMANTE EXPANDABLE RING,-6,10/12/2011 13:15,4.25,14911,EIRE,-25.5
C565582,20725,LUNCH BAG RED RETROSPOT,-100,9/5/2011 12:38,1.45,14156,EIRE,-145
C569949,22960,JAM MAKING SET WITH JARS,-1,10/6/2011 18:27,4.25,12584,Italy,-4.25
C567704,23287,RED VINTAGE SPOT BEAKER,-8,9/22/2011 9:41,0.85,17716,United Kingdom,-6.8
552733,23059,Thrown away-rusty,-2376,5/11/2011 10:48,0,Guest,United Kingdom,0
C540634,79323P,PINK CHERRY LIGHTS,-4,1/10/2011 12:02,6.75,13672,United Kingdom,-27
C563220,21289,LARGE STRIPES CHOCOLATE GIFT BAG,-4,8/14/2011 14:22,1.25,16150,United Kingdom,-5
C552876,M,Manual,-1,5/12/2011 9:48,929.9,13235,United Kingdom,-929.9
C573086,22065,CHRISTMAS PUDDING TRINKET POT ,-1,10/27/2011 14:27,0.39,13991,United Kingdom,-0.39
C570004,22371,AIRLINE BAG VINTAGE TOKYO 78,-1,10/7/2011 9:21,4.25,13198,United Kingdom,-4.25
549009,21474,Unknown,-8,4/5/2011 14:39,0,Guest,United Kingdom,0
C579895,23374,RED SPOT PAPER GIFT BAG,-5,12/1/2011 8:27,0.82,14329,United Kingdom,-4.1
C549960,22423,REGENCY CAKESTAND 3 TIER,-2,4/13/2011 13:49,12.75,16652,United Kingdom,-25.5
C558313,22629,SPACEBOY LUNCH BOX ,-1,6/28/2011 11:31,1.95,13870,United Kingdom,-1.95
C567690,23007, SPACEBOY BABY GIFT SET,-1,9/21/2011 17:01,16.95,15810,United Kingdom,-16.95
C568347,84660A,WHITE STITCHED WALL CLOCK,-1,9/26/2011 15:31,0.79,17997,United Kingdom,-0.79
C552556,23194,GYMKHANA TREASURE BOOK BOX,-8,5/10/2011 11:21,2.25,17504,United Kingdom,-18
C572334,23201,JUMBO BAG ALPHABET,-100,10/24/2011 10:25,1.79,14607,United Kingdom,-179
C544279,22617,BAKING SET SPACEBOY DESIGN,-1,2/17/2011 12:03,4.95,17954,United Kingdom,-4.95
563652,22461,Unknown,-36,8/18/2011 10:43,0,Guest,United Kingdom,0
551443,35920,Unknown,-4,4/28/2011 15:51,0,Guest,United Kingdom,0
C568879,23204,CHARLOTTE BAG APPLES DESIGN,-50,9/29/2011 12:38,0.72,14680,United Kingdom,-36
C567963,21218,RED SPOTTY BISCUIT TIN,-1,9/23/2011 9:19,3.75,14141,United Kingdom,-3.75
C558097,22796,PHOTO FRAME 3 CLASSIC HANGING,-1,6/26/2011 13:29,9.95,15532,United Kingdom,-9.95
